Género y especie;Tiempo;Ubicación;Zona;País actual;Hábitat;Capacidad craneal;Altura;Tamaño de los incisivos;Forma de la mandíbula;Toroide supraorbitario;Prognatismo;Posición del foramen magnum;Tamaño del canino;Forma de los caninos;Esmalte dental;Tecno;Tipo tecno;Bípedo;Brazos;Pies;Dieta;Dimorfismo sexual;Cadera;Frente vertical;Anatomía;Migrado;Esqueleto
Homo Rudolfensis;244.722.342;Africa;oriental;Kenya;savannah;75.394.022;12.730.092;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Floresiensis;0.35075631;Asia ;oriental;Indonesia;peninsular;2.268.242;10.859.894;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Habilis;231.018.359;Africa;oriental;Ethiopia;savannah;62.780.908;13.832.362;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Erectus;125.448.439;Asia ;west;Indonesia;savannah;105.224.413;15.154.885;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Naledi;0.78928167;Africa;south;South Africa;jungle;20.256.489;13.779.946;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Paranthropus Boisei;253.221.178;Africa;oriental;Ethiopia;forest;48.563.898;10.017.198;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Sapiens;0.53550592;Africa;oriental;Kenya;savannah;127.722.495;17.161.215;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Antecesor;0.7275987;Europa;west;Spain;savannah;115.166.419;17.860.686;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Australopithecus Anamensis;413.171.729;Africa;oriental;Kenya;forest-gallery;32.749.109;12.252.785;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
hominino Ardipithecus ramidus / kabadda;400.923.049;Africa;oriental;Ethiopia;mixed;40.225.773;1.161.818;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Naledi;0.71692106;Africa;south;South Africa;jungle;39.805.747;12.561.793;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Rudolfensis;302.899.721;Africa;oriental;Kenya;savannah;72.741.031;12.075.818;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Australopithecus Africanus;416.040.834;Africa;south;South Africa;forest-gallery;66.744.704;10.340.172;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
hominino Orrorin tugenencin;621.860.422;Africa;oriental;Kenya;forest;22.524.214;1.109.218;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Floresiensis;0.36009669;Asia ;oriental;Indonesia;peninsular;33.928.275;10.997.157;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Habilis;249.978.931;Africa;oriental;Ethiopia;savannah;71.510.996;1.335.628;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
Homo Rudolfensis;288.760.109;Africa;oriental;Kenya;savannah;63.696.928;12.380.417;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Ergaster;188.408.062;Africa;oriental;Kenya;savannah;96.953.084;15.882.369;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Boisei;240.676.261;Africa;oriental;Ethiopia;forest;59.523.216;1.145.272;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Sediba;216.955.659;Africa;south;South Africa;mixed;41.211.905;10.944.482;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Homo Rodhesiensis;0.82896438;Africa;oriental;Ethiopia;savannah;113.365.308;14.679.697;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Anamensis;469.682.026;Africa;oriental;Kenya;forest-gallery;22.471.673;11.670.572;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Homo Antecesor;0.7702941;Europa;west;Spain;savannah;98.100.997;16.747.311;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Homo Georgicus;200.994.007;Asia ;west;Georgia;savannah;71.964.089;14.476.889;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Australopithecus Sediba;219.075.377;Africa;south;South Africa;mixed;41.991.487;10.747.275;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
hominino Ardipithecus ramidus / kabadda;414.569.051;Africa;oriental;Ethiopia;mixed;24.441.923;10.132.551;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
hominino Orrorin tugenencin;668.513.749;Africa;oriental;Kenya;forest;12.182.944;12.551.881;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Sapiens;0.29694628;Africa;oriental;Kenya;savannah;116.459.645;17.155.146;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Floresiensis;0.22386886;Asia ;oriental;Indonesia;peninsular;33.636.985;10.353.425;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Erectus;177.552.718;Asia ;west;Indonesia;savannah;109.993.369;16.657.311;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Rudolfensis;29.662.517;Africa;oriental;Kenya;savannah;67.222.726;12.930.185;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Australopithecus Anamensis;456.474.807;Africa;oriental;Kenya;forest-gallery;26.281.118;11.585.308;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Australopithecus Bahrelghazali;363.628.745;Africa;central;Republic of Chad;mixed;30.900.807;11.200.421;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Homo Floresiensis;0.51441932;Asia ;oriental;Indonesia;peninsular;31.998.693;9.684.169;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Garhi;294.202.259;Africa;oriental;Ethiopia;mixed;40.437.948;12.057.918;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Antecesor;147.001.405;Europa;west;Spain;savannah;101.384.273;1.645.075;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
hominino Orrorin tugenencin;652.392.279;Africa;oriental;Kenya;forest;16.501.383;11.830.695;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Naledi;0.38994916;Africa;south;South Africa;jungle;34.759.235;13.428.367;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Garhi;263.358.424;Africa;oriental;Ethiopia;mixed;2.479.773;12.238.902;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Paranthropus Boisei;22.861.948;Africa;oriental;Ethiopia;forest;55.604.934;11.223.029;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Paranthropus Aethiopicus;293.605.766;Africa;oriental;Kenya;forest-savanna;47.391.542;11.734.743;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Sahelanthropus tchadensis;749.866.915;Africa;central;Republic of Chad;mixed;21.396.245;8.260.807;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Garhi;249.397.383;Africa;oriental;Ethiopia;mixed;23.105.873;12.042.082;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Naledi;0.38490852;Africa;south;South Africa;jungle;4.855.928;1.364.929;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Bahrelghazali;359.957.465;Africa;central;Republic of Chad;mixed;40.792.343;11.030.473;small;U shape;very protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;climbing;dry fruits;high;slim;no;old;no;light
Homo Ergaster;148.145.253;Africa;oriental;Kenya;savannah;87.462.232;16.896.709;very small;modern;very protruding;reduced;modern;small;incisiform;medium-thin;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Floresiensis;0.61457653;Asia ;oriental;Indonesia;peninsular;19.268.727;9.018.057;small;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;yes;mode 1;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Georgicus;236.122.546;Asia ;west;Georgia;savannah;68.204.924;1.490.488;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Robustus;167.079.903;Africa;south;South Africa;jungle;47.748.063;1.217.125;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Rodhesiensis;0.9015738;Africa;oriental;Ethiopia;savannah;108.213.476;15.760.392;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Afarensis;371.531.159;Africa;oriental;Kenya;mixed;21.210.196;13.796.536;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Australopithecus Garhi;311.629.369;Africa;oriental;Ethiopia;mixed;25.246.508;11.456.538;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Australopithecus Sediba;19.157.334;Africa;south;South Africa;mixed;35.961.501;10.635.198;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
Australopithecus Anamensis;459.437.393;Africa;oriental;Kenya;forest-gallery;46.824.516;12.558.886;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Homo Naledi;0.78380891;Africa;south;South Africa;jungle;26.627.057;12.789.268;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Naledi;0.44761853;Africa;south;South Africa;jungle;47.539.468;12.057.658;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Erectus;195.200.739;Asia ;west;Indonesia;savannah;10.259.654;16.213.414;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Homo Rodhesiensis;0.53696936;Africa;oriental;Ethiopia;savannah;108.968.668;15.098.235;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Anamensis;478.463.865;Africa;oriental;Kenya;forest-gallery;29.066.245;12.874.588;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Homo Antecesor;0.8437986;Europa;west;Spain;savannah;104.719.228;17.390.226;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
Homo Rudolfensis;237.585.998;Africa;oriental;Kenya;savannah;8.241.574;13.978.335;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Australopithecus Sediba;201.305.806;Africa;south;South Africa;mixed;39.062.308;10.627.208;small;U shape;very protruding;medium-high;anterior;small;conicalls;medium-thin;no;no;yes;climbing;walk;soft fruits;high;slim;no;old;no;light
hominino Sahelanthropus tchadensis;743.615.698;Africa;central;Republic of Chad;mixed;17.158.887;9.054.258;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Afarensis;39.243.651;Africa;oriental;Kenya;mixed;44.383.967;12.004.176;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Sapiens;0.680606;Africa;oriental;Kenya;savannah;125.936.579;1.664.868;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Antecesor;117.907.163;Europa;west;Spain;savannah;105.814.486;16.439.868;medium large;U shape;little protruding;medium;modern;big;incisiform;medium-thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;mixed;yes;light
hominino Orrorin tugenencin;655.875.481;Africa;oriental;Kenya;forest;15.416.916;12.716.842;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Paranthropus Robustus;161.432.031;Africa;south;South Africa;jungle;5.267.883;1.132.738;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Ardipithecus ramidus / kabadda;38.028.592;Africa;oriental;Ethiopia;mixed;39.665.257;11.667.225;small;conical;very protruding;high;semi-anterior;small;conicalls;thick-medium;no;no;high probability;climbing;climbing;soft fruits;medium-high;wide;no;old;no;light
Homo Georgicus;195.455.723;Asia ;west;Georgia;savannah;84.582.035;1.568.969;medium large;U shape;very protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
Paranthropus Aethiopicus;242.404.392;Africa;oriental;Kenya;forest-savanna;35.671.246;10.121.263;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Africanus;339.178.801;Africa;south;South Africa;forest-gallery;62.700.608;10.516.993;small;conical;very protruding;medium-high;anterior;small;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;yes;old;no;light
Australopithecus Anamensis;4.552.475;Africa;oriental;Kenya;forest-gallery;31.612.614;12.255.052;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Paranthropus Aethiopicus;292.055.359;Africa;oriental;Kenya;forest-savanna;48.967.915;11.750.151;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Rodhesiensis;0.40866252;Africa;oriental;Ethiopia;savannah;106.974.372;150.039;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Australopithecus Afarensis;421.622.082;Africa;oriental;Kenya;mixed;44.570.501;13.022.537;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
hominino Sahelanthropus tchadensis;685.143.802;Africa;central;Republic of Chad;mixed;7.891.146;8.883.052;small;conical;very protruding;high;posterior;small;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Paranthropus Robustus;21.116.275;Africa;south;South Africa;jungle;56.630.512;11.071.351;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Homo Heidelbergensis;0.43877675;Europa;central;Germany;cold forest;130.338.306;18.115.611;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Paranthropus Robustus;225.200.624;Africa;south;South Africa;jungle;44.184.187;11.770.908;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
Australopithecus Anamensis;430.238.502;Africa;oriental;Kenya;forest-gallery;47.104.585;11.723.633;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;climbing;dry fruits;high;wide;no;mixed;no;light
Homo Rudolfensis;263.311.486;Africa;oriental;Kenya;savannah;73.896.174;13.176.088;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Australopithecus Garhi;308.452.754;Africa;oriental;Ethiopia;mixed;28.526.987;12.283.987;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Naledi;0.93684017;Africa;south;South Africa;jungle;49.725.485;12.890.382;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Australopithecus Garhi;252.928.605;Africa;oriental;Ethiopia;mixed;36.880.942;11.163.375;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Homo Habilis;314.823.968;Africa;oriental;Ethiopia;savannah;81.143.987;12.179.796;small;U shape;little protruding;medium;anterior;small;incisiform;medium-thin;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;yes;modern;yes;robust
hominino Orrorin tugenencin;59.256.621;Africa;oriental;Kenya;forest;6.475.085;12.973.059;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Australopithecus Garhi;306.501.009;Africa;oriental;Ethiopia;mixed;26.151.494;12.853.202;big;U shape;very protruding;medium-high;anterior;big;conicalls;thick;likely;primitive;yes;climbing;walk;omnivore;high;slim;no;old;no;light
Australopithecus Afarensis;395.176.487;Africa;oriental;Kenya;mixed;32.115.323;13.658.327;big;U shape;very protruding;high;anterior;big;incisiform;thick;no;no;yes;climbing;walk;dry fruits;high;slim;no;old;no;refined
Homo Naledi;0.95581162;Africa;south;South Africa;jungle;47.158.343;13.957.929;big;U shape;little protruding;medium-high;modern;small;incisiform;medium-thin;no;no;modern;climbing;walk;omnivore;medium-high;wide;no;mixed;no;light
Homo Rodhesiensis;128.030.441;Africa;oriental;Ethiopia;savannah;102.462.631;14.794.612;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Paranthropus Boisei;203.677.138;Africa;oriental;Ethiopia;forest;55.859.318;10.877.095;megadony;V shape;ultra protruding;very high;semi-anterior;big;conicalls;very thick;no;no;yes;climbing;climbing;hard fruits;high;wide;no;old;no;robust
hominino Orrorin tugenencin;631.530.893;Africa;oriental;Kenya;forest;6.463.307;12.840.126;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Rodhesiensis;105.950.615;Africa;oriental;Ethiopia;savannah;104.947.123;14.849.435;big;U shape;less protruding;medium-high;modern;big;incisiform;medium-thick;yes;mode 2;modern;manipulate with precision;walk;omnivore;medium-high;slim;yes;mixed;no;robust
Homo Rudolfensis;220.349.705;Africa;oriental;Kenya;savannah;58.217.227;1.317.168;small;U shape;less protruding;medium-high;anterior;big;conicalls;thick;no;no;yes;climbing;walk;hard fruits;high;slim;no;mixed;no;refined
Homo Erectus;174.050.433;Asia ;west;Indonesia;savannah;111.501.068;15.653.458;very small;modern;little protruding;reduced;modern;small;incisiform;thick;yes;mode 1;modern;manipulate;walk;omnivore;medium-high;modern;modern;modern;yes;robust
hominino Orrorin tugenencin;620.135.246;Africa;oriental;Kenya;forest;1.521.326;12.272.136;small;conical;very protruding;high;posterior;big;conicalls;thick;no;no;low probability;climbing;climbing;dry fruits;high;wide;no;old;no;light
Homo Heidelbergensis;0.89163724;Europa;central;Germany;cold forest;139.436.828;17.221.316;small;modern;little protruding;reduced;modern;small;incisiform;thin;yes;mode 2;modern;manipulate;walk;carnivorous;medium-high;very modern;modern;very modern;no;robust
Homo Sapiens;0.33766568;Africa;oriental;Kenya;savannah;129.304.672;17.630.292;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
Homo Sapiens;0.50193568;Africa;oriental;Kenya;savannah;115.152.644;1.776.606;very small;modern;flat;absent;modern;small;incisiform;very thin;yes;mode 4;modern;manipulate with precision;walk;carnivorous;reduced;very modern;modern;very modern;yes;refined
